iter	Passed	Remaining
0	6	870
1	13	886
2	20	863
3	26	836
4	32	817
5	38	793
6	44	785
7	51	785
8	58	780
9	63	764
10	71	774
11	78	769
12	85	771
13	91	761
14	97	749
15	104	742
16	110	731
17	116	722
18	121	710
19	126	695
20	132	687
21	139	683
22	145	677
23	151	670
24	156	659
25	163	653
26	170	649
27	176	642
28	181	631
29	188	629
30	195	624
31	201	617
32	208	613
33	213	603
34	220	598
35	226	592
36	233	587
37	241	584
38	249	581
39	255	575
40	261	568
41	268	563
42	275	556
43	282	552
44	288	545
45	294	537
46	300	530
47	305	521
48	311	514
49	316	506
50	322	499
51	328	493
52	334	486
53	340	479
54	347	473
55	352	465
56	358	459
57	366	454
58	372	448
59	379	443
60	386	436
61	392	430
62	397	422
63	403	415
64	410	410
65	417	405
66	423	398
67	429	391
68	435	385
69	441	378
70	448	372
71	454	366
72	461	360
73	468	354
74	475	348
75	482	342
76	488	336
77	495	330
78	501	323
79	507	317
80	512	310
81	518	303
82	524	296
83	529	290
84	535	283
85	541	277
86	549	271
87	557	266
88	563	259
89	571	254
90	579	248
91	586	242
92	592	235
93	598	229
94	607	223
95	613	217
96	622	211
97	630	205
98	637	199
99	644	193
100	652	187
101	660	181
102	667	174
103	674	168
104	680	161
105	687	155
106	692	148
107	698	142
108	705	135
109	710	129
110	717	122
111	723	116
112	731	110
113	739	103
114	746	97
115	754	91
116	763	84
117	769	78
118	775	71
119	783	65
120	789	58
121	795	52
122	801	45
123	806	39
124	814	32
125	819	26
126	826	19
127	833	13
128	839	6
129	845	0
